iter	Passed	Remaining
0	75	37659
1	105	26156
2	130	21650
3	155	19277
4	196	19438
5	224	18491
6	252	17804
7	280	17256
8	309	16863
9	336	16505
10	368	16387
11	398	16199
12	433	16229
13	461	16004
14	500	16181
15	529	16005
16	561	15946
17	589	15776
18	617	15643
19	646	15521
20	705	16083
21	733	15936
22	764	15852
23	792	15723
24	827	15722
25	855	15588
26	883	15480
27	912	15384
28	954	15510
29	983	15408
30	1016	15385
31	1046	15310
32	1085	15364
33	1120	15361
34	1180	15678
35	1210	15604
36	1242	15545
37	1270	15450
38	1302	15395
39	1330	15297
40	1367	15312
41	1395	15217
42	1429	15197
43	1458	15118
44	1487	15038
45	1519	14992
46	1558	15019
47	1586	14941
48	1622	14935
49	1651	14862
50	1686	14843
51	1714	14768
52	1745	14718
53	1776	14673
54	1831	14816
55	1863	14771
56	1912	14860
57	1944	14816
58	2006	15000
59	2036	14933
60	2070	14897
61	2100	14838
62	2134	14808
63	2166	14757
64	2196	14697
65	2224	14629
66	2260	14609
67	2289	14546
68	2321	14503
69	2349	14435
70	2385	14415
71	2413	14345
72	2441	14282
73	2482	14289
74	2541	14403
75	2581	14403
76	2621	14400
77	2650	14342
78	2680	14285
79	2709	14223
80	2754	14247
81	2782	14184
82	2826	14203
83	2854	14138
84	2884	14084
85	2913	14026
86	2955	14031
87	2983	13968
88	3012	13911
89	3040	13852
90	3082	13855
91	3110	13795
92	3139	13739
93	3167	13681
94	3197	13632
95	3227	13581
96	3273	13601
97	3302	13547
98	3337	13518
99	3369	13478
100	3413	13486
101	3448	13457
102	3493	13466
103	3525	13424
104	3556	13380
105	3585	13327
106	3620	13298
107	3649	13246
108	3684	13215
109	3712	13162
110	3741	13113
111	3769	13060
112	3799	13012
113	3827	12958
114	3855	12907
115	3884	12858
116	3922	12840
117	3951	12791
118	3982	12750
119	4009	12697
120	4038	12648
121	4066	12600
122	4105	12584
123	4137	12546
124	4166	12498
125	4199	12466
126	4230	12425
127	4258	12377
128	4305	12381
129	4335	12339
130	4396	12383
131	4425	12337
132	4453	12289
133	4481	12240
134	4523	12230
135	4551	12181
136	4588	12158
137	4616	12110
138	4645	12065
139	4673	12017
140	4716	12008
141	4750	11976
142	4799	11982
143	4843	11974
144	4877	11942
145	4906	11896
146	4938	11860
147	4967	11815
148	4997	11771
149	5026	11728
150	5070	11719
151	5098	11672
152	5131	11637
153	5165	11605
154	5225	11630
155	5253	11584
156	5303	11586
157	5332	11542
158	5380	11538
159	5406	11488
160	5442	11460
161	5471	11416
162	5500	11371
163	5541	11352
164	5585	11339
165	5612	11293
166	5648	11263
167	5676	11217
168	5704	11172
169	5733	11130
170	5763	11088
171	5791	11045
172	5820	11000
173	5848	10956
174	5886	10932
175	5913	10886
176	5948	10854
177	5975	10810
178	6004	10767
179	6032	10725
180	6075	10707
181	6102	10663
182	6131	10621
183	6174	10604
184	6203	10562
185	6230	10518
186	6267	10489
187	6296	10449
188	6330	10417
189	6365	10386
190	6410	10370
191	6439	10329
192	6468	10289
193	6497	10248
194	6536	10224
195	6565	10183
196	6600	10152
197	6630	10113
198	6660	10074
199	6689	10034
200	6728	10008
201	6756	9968
202	6789	9933
203	6817	9892
204	6855	9865
205	6885	9826
206	6920	9795
207	6948	9754
208	6983	9723
209	7011	9682
210	7040	9642
211	7068	9602
212	7110	9580
213	7138	9540
214	7168	9502
215	7197	9463
216	7225	9423
217	7253	9382
218	7285	9348
219	7315	9310
220	7349	9278
221	7377	9239
222	7413	9209
223	7449	9179
224	7479	9141
225	7506	9100
226	7543	9071
227	7571	9032
228	7603	8998
229	7631	8959
230	7660	8920
231	7703	8898
232	7735	8864
233	7764	8826
234	7796	8791
235	7825	8754
236	7862	8724
237	7893	8689
238	7938	8669
239	7967	8631
240	7999	8597
241	8034	8565
242	8065	8530
243	8095	8493
244	8123	8455
245	8151	8416
246	8180	8379
247	8209	8341
248	8238	8305
249	8267	8267
250	8296	8230
251	8327	8195
252	8356	8158
253	8384	8120
254	8413	8083
255	8441	8045
256	8494	8031
257	8521	7993
258	8558	7963
259	8586	7926
260	8618	7892
261	8647	7855
262	8682	7823
263	8710	7786
264	8739	7749
265	8766	7712
266	8825	7701
267	8853	7664
268	8888	7633
269	8917	7596
270	8951	7563
271	8978	7526
272	9023	7503
273	9051	7466
274	9092	7438
275	9120	7402
276	9156	7371
277	9188	7337
278	9218	7302
279	9246	7265
280	9275	7228
281	9302	7191
282	9348	7168
283	9381	7134
284	9413	7101
285	9441	7064
286	9488	7041
287	9519	7007
288	9548	6971
289	9583	6940
290	9612	6904
291	9643	6869
292	9674	6834
293	9709	6803
294	9745	6772
295	9793	6749
296	9838	6724
297	9902	6712
298	9946	6686
299	9996	6664
300	10045	6641
301	10090	6615
302	10120	6580
303	10167	6555
304	10196	6519
305	10228	6484
306	10257	6448
307	10291	6415
308	10328	6384
309	10375	6359
