iter	Passed	Remaining
0	124	124669
1	250	125002
2	367	122240
3	484	120648
4	603	120000
5	720	119316
6	839	119026
7	874	108410
8	996	109675
9	1117	110634
10	1237	111223
11	1359	111924
12	1479	112359
13	1601	112767
14	1721	113031
15	1843	113401
16	1964	113568
17	2086	113826
18	2204	113813
19	2322	113814
20	2447	114104
21	2571	114294
22	2693	114427
23	2817	114580
24	2940	114690
25	3062	114728
26	3184	114754
27	3306	114787
28	3429	114828
29	3451	111586
30	3572	111673
31	3697	111852
32	3820	111956
33	3944	112059
34	4063	112023
35	4188	112167
36	4312	112229
37	4430	112167
38	4552	112167
39	4671	112106
40	4791	112066
41	4914	112103
42	5036	112085
43	5162	112167
44	5283	112129
45	5408	112164
46	5530	112143
47	5552	110126
48	5675	110145
49	5799	110184
50	5923	110216
51	6051	110322
52	6173	110299
53	6299	110362
54	6423	110361
55	6545	110332
56	6669	110336
57	6791	110306
58	6919	110365
59	7045	110373
60	7169	110360
61	7291	110307
62	7417	110316
63	7542	110306
64	7666	110282
65	7792	110273
66	7916	110236
67	8039	110185
68	8167	110197
69	8298	110252
70	8421	110186
71	8545	110137
72	8668	110075
73	8794	110049
74	8918	109989
75	9041	109922
76	9162	109830
77	9286	109772
78	9407	109672
79	9527	109571
80	9591	108825
81	9715	108768
82	9834	108652
83	9955	108563
84	10079	108502
85	10202	108432
86	10325	108359
87	10446	108262
88	10570	108203
89	10695	108142
90	10817	108056
91	10945	108030
92	11069	107955
93	11192	107877
94	11315	107793
95	11439	107726
96	11559	107612
97	11686	107564
98	11810	107485
99	11934	107407
100	12058	107331
101	12179	107230
102	12303	107146
103	12422	107027
104	12538	106875
105	12660	106776
106	12780	106664
107	12900	106551
108	13025	106476
109	13147	106378
110	13269	106275
111	13389	106160
112	13514	106085
113	13636	105983
114	13758	105883
115	13884	105807
116	14006	105706
117	14130	105620
118	14248	105490
119	14370	105384
120	14491	105270
121	14611	105154
122	14733	105052
123	14856	104951
124	14973	104812
125	15093	104697
126	15215	104589
127	15251	103898
128	15371	103785
129	15491	103674
130	15614	103577
131	15734	103465
132	15851	103330
133	15874	102589
134	15993	102478
135	16111	102355
136	16234	102264
137	16353	102148
138	16474	102047
139	16592	101928
140	16714	101826
141	16836	101731
142	16954	101609
143	17077	101514
144	17196	101397
145	17316	101290
146	17436	101180
147	17558	101079
148	17680	100980
149	17798	100858
150	17918	100749
151	18041	100652
152	18160	100538
153	18283	100440
154	18403	100330
155	18530	100255
156	18647	100124
157	18769	100026
158	18890	99917
159	19013	99819
160	19133	99706
161	19253	99594
162	19375	99492
163	19494	99376
164	19620	99291
165	19750	99227
166	19871	99118
167	20006	99078
168	20125	98961
169	20246	98848
170	20367	98738
171	20486	98622
172	20605	98500
173	20725	98385
174	20846	98274
175	20968	98172
176	21088	98056
177	21209	97942
178	21332	97841
179	21451	97724
180	21574	97620
181	21695	97509
182	21817	97405
183	21938	97292
184	22058	97176
185	22178	97060
186	22303	96964
187	22429	96877
188	22551	96770
189	22674	96665
190	22797	96563
191	22925	96478
192	23051	96384
193	23173	96277
194	23293	96159
195	23414	96047
196	23536	95939
197	23661	95842
198	23787	95746
199	23910	95640
200	24032	95532
201	24153	95419
202	24275	95309
203	24399	95205
204	24522	95099
205	24654	95027
206	24784	94945
207	24910	94850
208	25040	94769
209	25167	94675
210	25293	94580
211	25415	94468
212	25538	94359
213	25664	94264
214	25791	94168
215	25916	94066
216	26042	93967
217	26160	93840
218	26279	93719
219	26405	93620
220	26529	93513
221	26657	93423
222	26785	93329
223	26907	93216
224	27039	93136
225	27165	93036
226	27296	92953
227	27434	92891
228	27562	92797
229	27695	92719
230	27821	92618
231	27945	92510
232	28071	92405
233	28199	92310
234	28328	92218
235	28457	92125
236	28581	92014
237	28706	91910
238	28836	91817
239	28959	91705
240	29089	91612
241	29216	91511
242	29343	91410
243	29471	91312
244	29599	91214
245	29729	91122
246	29853	91012
247	29993	90948
248	30121	90846
249	30250	90752
250	30378	90652
251	30508	90558
252	30637	90458
253	30762	90350
254	30889	90246
255	31018	90146
256	31149	90053
257	31276	89949
258	31405	89849
259	31531	89742
260	31659	89640
261	31788	89541
262	31918	89445
263	32048	89348
264	32179	89251
265	32305	89143
266	32431	89033
267	32555	88921
268	32681	88812
269	32806	88698
270	32932	88590
271	33058	88480
272	33185	88373
273	33312	88267
274	33438	88157
275	33562	88042
276	33688	87930
277	33815	87822
278	33940	87710
279	34066	87599
280	34189	87481
281	34307	87350
282	34432	87236
283	34558	87127
284	34622	86861
285	34743	86737
286	34777	86398
287	34902	86287
288	35021	86159
289	35148	86054
290	35274	85944
291	35404	85843
292	35528	85730
293	35653	85615
294	35775	85497
295	35838	85237
296	35965	85130
297	36090	85019
298	36218	84913
299	36341	84797
300	36461	84673
301	36589	84566
302	36703	84430
303	36829	84319
304	36951	84199
305	37072	84078
306	37194	83959
307	37318	83845
308	37431	83705
309	37546	83571
310	37669	83454
311	37792	83337
312	37913	83214
313	38032	83091
314	38155	82973
315	38275	82849
316	38397	82730
317	38522	82617
318	38644	82499
319	38763	82371
320	38887	82257
321	39010	82139
322	39128	82012
323	39249	81889
324	39374	81778
325	39497	81660
326	39615	81533
327	39729	81396
328	39851	81278
329	39972	81156
330	40092	81031
331	40212	80910
332	40333	80788
333	40460	80678
334	40580	80555
335	40698	80428
336	40825	80318
337	40945	80195
338	41065	80071
339	41193	79964
340	41314	79841
341	41441	79733
342	41569	79623
343	41698	79518
344	41825	79406
345	41950	79294
346	42076	79181
347	42195	79055
348	42318	78938
349	42440	78818
350	42564	78702
351	42687	78584
352	42812	78470
353	42937	78355
354	43061	78238
355	43185	78121
356	43309	78004
357	43430	77883
358	43556	77771
359	43679	77652
360	43811	77549
361	43932	77427
362	44055	77309
363	44181	77196
364	44312	77091
365	44439	76979
366	44562	76861
367	44686	76744
368	44812	76630
369	44937	76515
370	45062	76399
371	45192	76292
372	45315	76173
373	45444	76064
374	45568	75947
375	45687	75822
376	45802	75688
377	45927	75573
378	46047	75450
379	46173	75335
380	46296	75217
381	46417	75094
382	46539	74973
383	46656	74845
384	46777	74722
385	46899	74601
386	47021	74481
387	47140	74356
388	47254	74222
389	47376	74101
390	47492	73972
391	47616	73853
392	47740	73735
393	47864	73619
394	47989	73502
395	48112	73383
396	48236	73265
397	48360	73148
398	48485	73031
399	48608	72913
400	48736	72801
401	48863	72688
402	48989	72572
403	49112	72453
404	49236	72335
405	49383	72250
406	49524	72157
407	49650	72041
408	49776	71926
409	49901	71808
410	50023	71688
411	50147	71569
412	50270	71450
413	50397	71335
414	50521	71216
415	50643	71095
416	50773	70984
417	50899	70869
418	51023	70751
419	51148	70632
420	51271	70513
421	51392	70391
422	51518	70274
423	51644	70158
424	51761	70030
425	51881	69905
426	51996	69774
427	52113	69646
428	52233	69522
429	52357	69404
430	52473	69274
431	52597	69156
